iter	TotalF1	MultiClass
849	0.9998192009	0.05242191487
850	0.9998192009	0.05228046154
851	0.9998192009	0.0522050816
852	0.9998192009	0.05214441963
853	0.9998192009	0.05207050295
854	0.9998192009	0.05197877993
855	0.9998192009	0.05188744019
856	0.9998192009	0.05175110526
857	0.9998192009	0.05166106017
858	0.9998192009	0.05160397346
859	0.9998192009	0.05150389325
860	0.9998192009	0.05143871154
861	0.9998192009	0.05130939713
862	0.9998192009	0.05123479874
863	0.9998192009	0.05117146057
864	0.9998192009	0.05109384108
865	0.9998192009	0.05100455036
866	0.9998192009	0.05091404546
867	0.9998192009	0.05086154037
868	0.9998192009	0.05075335882
869	0.9998192009	0.05066781226
870	0.999864402	0.05059464106
871	0.999864402	0.05049653346
872	0.999864402	0.05043090789
873	0.999864402	0.05029664722
874	0.999864402	0.05023752116
875	0.999864402	0.05014703112
876	0.999864402	0.05004156576
877	0.999864402	0.04986507017
878	0.999864402	0.04978338054
879	0.999864402	0.04970127973
880	0.999864402	0.04962673989
