iter	Passed	Remaining
743	40206	13834
744	40260	13780
745	40311	13725
746	40355	13667
747	40399	13610
748	40448	13554
749	40494	13498
750	40549	13444
751	40597	13388
752	40645	13332
753	40692	13276
754	40738	13219
755	40810	13171
756	40886	13124
757	40961	13077
758	41022	13025
759	41088	12975
760	41193	12937
761	41237	12879
762	41281	12822
763	41326	12765
764	41374	12709
765	41420	12653
766	41468	12597
767	41514	12540
768	41559	12484
769	41605	12427
770	41654	12372
771	41702	12316
772	41754	12261
773	41802	12205
774	41846	12149
775	41892	12092
776	41937	12036
777	41984	11980
778	42030	11923
779	42081	11869
780	42136	11815
781	42285	11788
782	42360	11739
783	42430	11690
784	42481	11635
785	42536	11581
786	42585	11525
787	42636	11470
788	42692	11417
789	42744	11362
790	42797	11307
791	42857	11255
792	42922	11204
793	43002	11156
794	43086	11110
795	43145	11057
796	43197	11002
797	43298	10960
798	43409	10920
799	43474	10868
800	43534	10815
801	43584	10760
802	43633	10704
803	43686	10649
804	43742	10596
805	43793	10540
806	43845	10486
807	43896	10430
808	43951	10376
809	44005	10322
810	44086	10274
811	44156	10223
812	44226	10172
813	44288	10119
814	44347	10066
815	44410	10014
816	44499	9967
817	44628	9929
818	44713	9881
819	44796	9833
820	44874	9783
821	44946	9732
822	45014	9681
823	45112	9635
824	45261	9600
825	45376	9558
826	45445	9506
827	45520	9455
828	45598	9405
829	45727	9365
830	45787	9311
831	45840	9256
832	45919	9205
833	45985	9153
834	46045	9098
835	46102	9044
836	46156	8988
837	46212	8933
838	46301	8884
839	46363	8831
840	46414	8775
841	46464	8718
842	46513	8662
843	46563	8606
844	46616	8550
845	46668	8495
846	46718	8439
847	46774	8384
848	46866	8335
849	46921	8280
850	46981	8225
851	47030	8169
852	47081	8113
853	47131	8057
854	47181	8001
855	47230	7945
856	47282	7889
857	47338	7834
858	47391	7779
859	47446	7723
860	47496	7667
861	47551	7612
862	47612	7558
863	47668	7503
864	47726	7448
865	47784	7393
866	47843	7339
867	47905	7285
868	48011	7237
869	48078	7184
870	48134	7129
871	48192	7074
872	48246	7018
873	48312	6964
874	48371	6910
875	48422	6854
876	48479	6799
877	48540	6744
878	48597	6689
879	48648	6633
880	48704	6578
881	48763	6523
882	48828	6469
883	48892	6415
884	48954	6361
885	49006	6305
886	49064	6250
887	49157	6200
888	49216	6145
889	49269	6089
